delivery_days,delay_days,is_late,payment_value,payment_installments,payment_type,total_price,freight_value,freight_ratio,customer_state,product_weight_g,product_photos_qty,product_description_lenght,product_volume,review_label
11.0,-13.0,0,1333.55,8.0,1,1300.0,33.55,0.025807692307692306,6,2600.0,4.0,3632.0,19344.0,1
11.0,-6.0,0,110.16,1.0,1,96.4,13.76,0.14273858921161825,25,900.0,1.0,296.0,45000.0,1
8.0,-12.0,0,59.63,5.0,1,46.4,13.23,0.2851293103448276,18,180.0,1.0,365.0,2288.0,1
8.0,-8.0,0,84.79,1.0,1,77.0,7.79,0.10116883116883117,25,1000.0,6.0,2157.0,4356.0,0
25.0,-8.0,0,120.53,2.0,1,79.9,40.63,0.5085106382978724,4,4500.0,1.0,1324.0,18000.0,1
7.0,-13.0,0,584.08,6.0,1,529.65,54.43,0.10276597753233267,15,593.0,3.0,913.0,6240.0,1
6.0,-3.0,0,209.3,1.0,1,199.99,9.31,0.04655232761638082,18,425.0,1.0,689.0,1728.0,1
25.0,-3.0,0,105.94,1.0,1,70.0,35.94,0.5134285714285713,8,1400.0,1.0,831.0,12000.0,1
7.0,-15.0,0,70.24,1.0,0,52.0,18.24,0.3507692307692307,18,100.0,3.0,175.0,5967.0,0
37.0,8.0,1,192.67,4.0,1,175.0,17.67,0.10097142857142859,12,6663.0,1.0,232.0,2431.0,0
21.0,-3.0,0,100.82,10.0,1,82.99,17.83,0.214845162067719,18,1450.0,1.0,372.0,16320.0,1
5.0,-23.0,0,58.74,1.0,1,45.95,12.79,0.2783460282916213,25,350.0,2.0,161.0,3800.0,1
22.0,-14.0,0,198.68,3.0,1,166.0,32.68,0.19686746987951806,8,2350.0,1.0,571.0,18750.0,1
19.0,-9.0,0,150.67,1.0,1,119.99,30.68,0.25568797399783316,18,10075.0,1.0,1200.0,48654.0,1
1.0,-12.0,0,43.29,1.0,1,35.9,7.39,0.20584958217270194,25,150.0,2.0,382.0,4000.0,1
6.0,-14.0,0,686.02,4.0,1,669.0,17.02,0.02544095665171898,25,485.0,1.0,644.0,3240.0,1
9.0,-14.0,0,163.13,4.0,1,148.0,15.13,0.10222972972972974,25,1200.0,1.0,623.0,5472.0,1
20.0,-2.0,0,107.02,2.0,1,76.8,30.22,0.39348958333333334,18,950.0,1.0,789.0,14000.0,0
5.0,-20.0,0,43.31,1.0,1,29.6,13.71,0.4631756756756757,25,450.0,1.0,557.0,15625.0,1
7.0,-21.0,0,59.37,5.0,1,39.9,19.47,0.48796992481203005,18,750.0,1.0,119.0,4800.0,0
13.0,-18.0,0,119.45,5.0,1,75.0,44.45,0.5926666666666667,19,1800.0,1.0,629.0,31500.0,1
24.0,-15.0,0,525.21,4.0,1,500.0,25.21,0.05042,4,425.0,1.0,623.0,3952.0,1
10.0,-20.0,0,31.11,1.0,0,12.88,18.23,1.4153726708074534,8,180.0,1.0,448.0,2304.0,1
22.0,-11.0,0,40.8,1.0,0,20.0,20.8,1.04,12,150.0,4.0,180.0,1344.0,0
4.0,-5.0,0,48.02,4.0,1,39.0,9.02,0.23128205128205126,25,700.0,1.0,1036.0,15750.0,1
7.0,-14.0,0,287.77,1.0,1,250.0,37.77,0.15108000000000002,25,12250.0,1.0,756.0,70875.0,1
11.0,-11.0,0,103.14,8.0,1,86.9,16.24,0.1868814729574223,25,1383.0,1.0,245.0,20000.0,1
6.0,-20.0,0,1005.84,8.0,1,900.0,105.84,0.11760000000000001,22,2200.0,6.0,1231.0,33750.0,0
10.0,-20.0,0,199.68,3.0,1,155.98,43.7,0.2801641236055905,18,1813.0,1.0,279.0,37788.0,1
24.0,-11.0,0,59.38,1.0,0,34.0,25.38,0.7464705882352941,13,400.0,1.0,997.0,2340.0,1
7.0,-11.0,0,76.51,1.0,1,58.0,18.51,0.3191379310344828,18,100.0,1.0,92.0,1280.0,1
3.0,-25.0,0,38.09,1.0,1,23.99,14.1,0.5877448937057107,17,100.0,1.0,575.0,4500.0,1
35.0,6.0,1,87.16,1.0,1,70.9,16.26,0.2293370944992948,23,1400.0,1.0,272.0,42875.0,1
6.0,-10.0,0,154.89,3.0,1,140.88,14.01,0.09944633730834754,25,450.0,1.0,1045.0,5632.0,0
4.0,-8.0,0,38.78,1.0,0,24.0,14.78,0.6158333333333333,25,150.0,3.0,598.0,12420.0,0
14.0,-41.0,0,398.12,10.0,1,379.9,18.22,0.0479599894709134,10,600.0,8.0,2314.0,6174.0,1
18.0,-5.0,0,49.0,1.0,1,34.9,14.1,0.4040114613180516,18,250.0,1.0,350.0,3600.0,1
18.0,-14.0,0,102.03,3.0,1,85.0,17.03,0.2003529411764706,18,321.0,1.0,655.0,3458.0,1
16.0,-25.0,0,92.5,3.0,1,64.99,27.51,0.42329589167564247,18,400.0,1.0,841.0,2964.0,0
17.0,-12.0,0,85.6,1.0,1,59.9,25.7,0.4290484140233723,26,438.0,1.0,707.0,7581.0,1
3.0,-23.0,0,52.45,2.0,1,44.9,7.55,0.16815144766146994,18,350.0,1.0,1411.0,4096.0,1
1.0,-13.0,0,26.27,1.0,0,18.0,8.27,0.45944444444444443,25,150.0,2.0,573.0,1024.0,1
7.0,-19.0,0,1575.05,1.0,1,1549.0,26.05,0.016817301484828923,10,645.0,3.0,600.0,5472.0,1
13.0,-15.0,0,780.68,10.0,1,699.99,80.69,0.11527307532964756,18,25400.0,1.0,1352.0,142080.0,1
10.0,-16.0,0,249.48,1.0,0,229.99,19.49,0.08474281490499586,22,1800.0,3.0,674.0,3960.0,0
11.0,-16.0,0,117.74,8.0,1,94.5,23.24,0.2459259259259259,25,2150.0,1.0,1049.0,15548.0,1
18.0,-10.0,0,551.49,2.0,1,529.9,21.59,0.040743536516323835,25,593.0,3.0,913.0,6240.0,1
16.0,-3.0,0,249.8,3.0,1,235.9,13.9,0.05892327257312421,4,450.0,4.0,1892.0,561.0,0
16.0,0.0,0,197.02,4.0,1,159.0,38.02,0.23911949685534592,25,2150.0,1.0,167.0,5964.0,1
9.0,-9.0,0,251.68,5.0,1,159.96,91.72,0.5733933483370842,18,1200.0,1.0,420.0,4784.0,0
9.0,-14.0,0,64.59,1.0,1,49.49,15.1,0.30511214386744795,10,200.0,2.0,1275.0,1235.0,1
7.0,-8.0,0,130.26,1.0,0,116.89,13.37,0.11438104200530412,25,3900.0,1.0,289.0,10260.0,0
11.0,-16.0,0,298.2,1.0,1,279.99,18.21,0.0650380370727526,6,1300.0,3.0,528.0,28288.0,1
3.0,-8.0,0,107.85,1.0,1,99.0,8.85,0.08939393939393939,25,450.0,3.0,1193.0,720.0,1
11.0,-20.0,0,55.0,1.0,0,37.4,17.6,0.4705882352941177,8,1050.0,1.0,1533.0,12584.0,0
7.0,-13.0,0,233.29,4.0,1,210.0,23.29,0.1109047619047619,25,7300.0,1.0,315.0,42000.0,1
16.0,-18.0,0,99.9,2.0,1,99.9,0.0,0.0,18,584.0,3.0,523.0,2288.0,1
29.0,7.0,1,236.92,3.0,1,179.0,57.92,0.32357541899441344,18,9850.0,3.0,301.0,34200.0,0
30.0,3.0,1,87.72,5.0,1,69.0,18.72,0.2713043478260869,4,1850.0,1.0,530.0,18150.0,0
26.0,5.0,1,65.14,3.0,1,32.489999999999995,32.65,1.00492459218221,10,1200.0,1.0,147.0,4540.5,0
12.0,-22.0,0,656.72,8.0,1,629.99,26.73,0.04242924490864934,16,600.0,3.0,437.0,2565.0,1
10.0,-14.0,0,91.23,1.0,0,49.9,41.33,0.8282565130260521,23,1650.0,2.0,366.0,19800.0,1
22.0,-7.0,0,56.69,1.0,0,39.9,16.79,0.42080200501253134,23,150.0,1.0,324.0,4913.0,1
27.0,3.0,1,30.0,1.0,1,15.9,14.1,0.8867924528301886,18,300.0,1.0,273.0,352.0,0
6.0,-7.0,0,131.46,13.0,1,107.9,23.56,0.21835032437442073,23,1750.0,5.0,1166.0,27000.0,1
12.0,-18.0,0,163.06,1.0,0,128.8,34.26,0.26599378881987573,10,5500.0,1.0,996.0,10800.0,1
